stop_id,routes,cross_street,on_street,dept_name
302,12,THROOP,ROOSEVELT,Bus Operations
303,12,RACINE,ROOSEVELT,Bus Operations
305,12,BLUE ISLAND,ROOSEVELT,Bus Operations
306,12,MORGAN,ROOSEVELT,Bus Operations
307,12,900 EAST,ROOSEVELT,Bus Operations
310,12&18&N62,JEFFERSON,ROOSEVELT,Bus Operations
312,12&18&N62,CANAL,ROOSEVELT,Bus Operations
313,12&18&N62,327 WEST,ROOSEVELT,Bus Operations
315,12&18&N62,CLARK,ROOSEVELT,Bus Operations
316,12&18&130&146&192,STATE,ROOSEVELT,Bus Operations
318,12,MICHIGAN,ROOSEVELT,Bus Operations
326,12&18&N62,327 WEST,ROOSEVELT,Bus Operations
327,12&18&N62,CANAL,ROOSEVELT,Bus Operations
328,12&18&N62,CLINTON,ROOSEVELT,Bus Operations
329,12&18&N62,JEFFERSON,ROOSEVELT,Bus Operations
331,12,HALSTED,ROOSEVELT,Bus Operations
332,12,900 WEST,ROOSEVELT,Bus Operations
333,12,MORGAN,ROOSEVELT,Bus Operations
334,12,BLUE ISLAND,ROOSEVELT,Bus Operations
335,12,MAY,ROOSEVELT,Bus Operations
336,12,RACINE,ROOSEVELT,Bus Operations
337,12,THROOP,ROOSEVELT,Bus Operations
340,12,ASHLAND,ROOSEVELT,Bus Operations
341,12,PAULINA,ROOSEVELT,Bus Operations
342,12,WOOD,ROOSEVELT,Bus Operations
343,12,WOLCOTT,ROOSEVELT,Bus Operations
344,12,DAMEN,ROOSEVELT,Bus Operations
348,12,WESTERN,ROOSEVELT,Bus Operations
349,12,CAMPBELL (east leg),ROOSEVELT,Bus Operations
350,12,TALMAN,ROOSEVELT,Bus Operations
351,12,WASHTENAW,ROOSEVELT,Bus Operations
353,12,FRANCISCO,ROOSEVELT,Bus Operations
354,12,SACRAMENTO,ROOSEVELT,Bus Operations
355,12,ALBANY,ROOSEVELT,Bus Operations
356,12,KEDZIE,ROOSEVELT,Bus Operations
357,12,SPAULDING,ROOSEVELT,Bus Operations
358,12,HOMAN,ROOSEVELT,Bus Operations
359,12,ST. LOUIS,ROOSEVELT,Bus Operations
361,12,LAWNDALE,ROOSEVELT,Bus Operations
362,12,INDEPENDENCE,ROOSEVELT,Bus Operations
364,12,SPRINGFIELD,ROOSEVELT,Bus Operations
365,12,PULASKI,ROOSEVELT,Bus Operations
366,12,KARLOV,ROOSEVELT,Bus Operations
367,12,KEELER,ROOSEVELT,Bus Operations
368,12,KILDARE,ROOSEVELT,Bus Operations
369,12,KOSTNER,ROOSEVELT,Bus Operations
370,12,KILBOURN,ROOSEVELT,Bus Operations
373,12,47TH AVENUE,ROOSEVELT,Bus Operations
375,12,49TH AVENUE,ROOSEVELT,Bus Operations
376,12,50TH AVENUE,ROOSEVELT,Bus Operations
377,12,51ST AVENUE,ROOSEVELT,Bus Operations
379,12,5300 WEST,ROOSEVELT,Bus Operations
380,12,54TH AVENUE,ROOSEVELT,Bus Operations
381,12,5500 WEST,ROOSEVELT,Bus Operations
382,12,CENTRAL,ROOSEVELT,Bus Operations
386,20,AUSTIN,MADISON,Bus Operations
388,20,MAYFIELD (east leg),MADISON,Bus Operations
389,20,MENARD,MADISON,Bus Operations
390,20,WALLER,MADISON,Bus Operations
391,20,PARKSIDE,MADISON,Bus Operations
393,20,PINE,MADISON,Bus Operations
394,20,LOTUS (west leg),MADISON,Bus Operations
395,20,LONG,MADISON,Bus Operations
396,20,LOCKWOOD (west leg),MADISON,Bus Operations
397,20,LARAMIE,MADISON,Bus Operations
402,20,KILPATRICK,MADISON,Bus Operations
403,20,KENTON (west leg),MADISON,Bus Operations
406,20,KILDARE,MADISON,Bus Operations
409,20,PULASKI,MADISON,Bus Operations
410,20,SPRINGFIELD,MADISON,Bus Operations
411,20,HAMLIN,MADISON,Bus Operations
412,20,CENTRAL PARK,MADISON,Bus Operations
413,20,ST. LOUIS,MADISON,Bus Operations
415,20,SPAULDING,MADISON,Bus Operations
416,20,KEDZIE,MADISON,Bus Operations
417,20,ALBANY (east leg),MADISON,Bus Operations
420,20,CALIFORNIA,MADISON,Bus Operations
421,20,WASHTENAW,MADISON,Bus Operations
423,20,CAMPBELL (west leg),MADISON,Bus Operations
427,20,HOYNE,MADISON,Bus Operations
428,20,DAMEN,MADISON,Bus Operations
429,20,UNITED CENTER (1900W),MADISON,Bus Operations
430,20,WOOD,MADISON,Bus Operations
431,20,PAULINA,MADISON,Bus Operations
432,20,ASHLAND,MADISON,Bus Operations
435,20,THROOP (east leg),MADISON,Bus Operations
436,20,RACINE (west leg),MADISON,Bus Operations
437,20,ABERDEEN (west leg),MADISON,Bus Operations
439,20,PEORIA,MADISON,Bus Operations
440,8&20,MADISON,HALSTED,Bus Operations
442,J14&19&20&56,JEFFERSON,WASHINGTON,Bus Operations
443,19&20&56,CANAL,WASHINGTON,Bus Operations
445,19&20&56&60&129&157,FRANKLIN,WASHINGTON,Bus Operations
446,19&20&56&60&129&157,LASALLE,WASHINGTON,Bus Operations
447,19&20&56&60&157,DEARBORN,WASHINGTON,Bus Operations
448,N4&19&20&56&60&N66&157,STATE,WASHINGTON,Bus Operations
449,N4&19&20&56&60&N66&147&151&157,WABASH (nearside GARLAND),WASHINGTON,Bus Operations
450,J14&19&20&56&60&N66&124&157,WABASH,MADISON,Bus Operations
452,J14&19&20&56&60&124&157,CLARK,MADISON,Bus Operations
453,J14&19&20&56&60&124&157,WELLS,MADISON,Bus Operations
454,J14&19&20&56&60&124&157,N. WACKER,MADISON,Bus Operations
455,J14&19&20&56&192,CLINTON,MADISON,Bus Operations
456,20,JEFFERSON,MADISON,Bus Operations
458,20,PEORIA,MADISON,Bus Operations
459,20,MORGAN,MADISON,Bus Operations
460,20,ABERDEEN (east leg),MADISON,Bus Operations
462,20,THROOP (west leg),MADISON,Bus Operations
463,20,LOOMIS (east leg),MADISON,Bus Operations
464,20,LAFLIN,MADISON,Bus Operations
465,20,ASHLAND,MADISON,Bus Operations
466,20,PAULINA,MADISON,Bus Operations
468,20,UNITED CENTER (1900W),MADISON,Bus Operations
469,20,DAMEN,MADISON,Bus Operations
470,20,HOYNE,MADISON,Bus Operations
473,20,WESTERN,MADISON,Bus Operations
478,20,FRANCISCO,MADISON,Bus Operations
479,20,SACRAMENTO,MADISON,Bus Operations
480,20,ALBANY (west leg),MADISON,Bus Operations
482,20,SPAULDING,MADISON,Bus Operations
484,20,ST. LOUIS,MADISON,Bus Operations
485,20,CENTRAL PARK,MADISON,Bus Operations
486,20,HAMLIN,MADISON,Bus Operations
487,20,SPRINGFIELD,MADISON,Bus Operations
494,20,KENTON (west leg),MADISON,Bus Operations
495,20,KILPATRICK,MADISON,Bus Operations
496,20,CICERO,MADISON,Bus Operations
497,20,LAMON,MADISON,Bus Operations
498,20,LAVERGNE (west leg),MADISON,Bus Operations
499,20,LECLAIRE,MADISON,Bus Operations
502,20,LONG,MADISON,Bus Operations
505,20,CENTRAL,MADISON,Bus Operations
506,20,PARKSIDE,MADISON,Bus Operations
507,20,WALLER,MADISON,Bus Operations
508,20,MENARD,MADISON,Bus Operations
509,20,MAYFIELD (west leg),MADISON,Bus Operations
510,66,AUSTIN,CHICAGO,Bus Operations
511,66,MAYFIELD,CHICAGO,Bus Operations
512,66,MENARD,CHICAGO,Bus Operations
513,66,WALLER (west leg),CHICAGO,Bus Operations
515,66,CENTRAL,CHICAGO,Bus Operations
516,66,PINE,CHICAGO,Bus Operations
518,66,LOCKWOOD,CHICAGO,Bus Operations
520,66,LECLAIRE,CHICAGO,Bus Operations
522,66,LAMON,CHICAGO,Bus Operations
523,66,CICERO,CHICAGO,Bus Operations
524,66,KILPATRICK,CHICAGO,Bus Operations
525,66,KILBOURN (east leg),CHICAGO,Bus Operations
527,66,KILDARE,CHICAGO,Bus Operations
528,66,KEELER,CHICAGO,Bus Operations
529,66,KARLOV,CHICAGO,Bus Operations
530,66,PULASKI,CHICAGO,Bus Operations
531,66,SPRINGFIELD,CHICAGO,Bus Operations
535,66,ST. LOUIS,CHICAGO,Bus Operations
537,66,SPAULDING,CHICAGO,Bus Operations
538,66,KEDZIE,CHICAGO,Bus Operations
540,52&66,SACRAMENTO(west serv.dr.),CHICAGO,Bus Operations
543,52&66,GRAND,CHICAGO,Bus Operations
544,66,CALIFORNIA,CHICAGO,Bus Operations
545,66,WASHTENAW,CHICAGO,Bus Operations
547,66,CAMPBELL,CHICAGO,Bus Operations
548,66,WESTERN,CHICAGO,Bus Operations
550,66,LEAVITT,CHICAGO,Bus Operations
551,66,HOYNE,CHICAGO,Bus Operations
552,66,DAMEN,CHICAGO,Bus Operations
553,66,WOLCOTT,CHICAGO,Bus Operations
556,66,ASHLAND,CHICAGO,Bus Operations
557,66,BISHOP,CHICAGO,Bus Operations
559,66,ELIZABETH (east leg),CHICAGO,Bus Operations
561,66,MILWAUKEE,CHICAGO,Bus Operations
562,66,OGDEN,CHICAGO,Bus Operations
563,66,SANGAMON (west leg),CHICAGO,Bus Operations
565,66,HALSTED,CHICAGO,Bus Operations
566,66,700 WEST,CHICAGO,Bus Operations
567,66,LARRABEE,CHICAGO,Bus Operations
569,66,HUDSON,CHICAGO,Bus Operations
571,66,ORLEANS,CHICAGO,Bus Operations
572,11&66,FRANKLIN,CHICAGO,Bus Operations
574,66,LASALLE,CHICAGO,Bus Operations
575,66,CLARK,CHICAGO,Bus Operations
576,66,DEARBORN,CHICAGO,Bus Operations
577,66,STATE,CHICAGO,Bus Operations
578,66,WABASH,CHICAGO,Bus Operations
579,66,RUSH,CHICAGO,Bus Operations
580,66,MICHIGAN,CHICAGO,Bus Operations
582,3&26&66&157,FAIRBANKS,CHICAGO,Bus Operations
584,3&66&157,HURON,FAIRBANKS,Bus Operations
585,66&157,ERIE,FAIRBANKS,Bus Operations
587,2&66,OHIO,FAIRBANKS,Bus Operations
589,2&29&65&66&120&121&124,McCLURG,GRAND,Bus Operations
590,2&29&65&66&120&121,FAIRBANKS/COLUMBUS,GRAND,Bus Operations
591,2&66,OHIO,FAIRBANKS,Bus Operations
593,3&66&157,ERIE,FAIRBANKS,Bus Operations
594,3&66&157,HURON,FAIRBANKS,Bus Operations
596,3&66&157,CHICAGO,FAIRBANKS,Bus Operations
597,3&26&66&157,MIES VAN DER ROHE,CHICAGO,Bus Operations
599,66,MICHIGAN,CHICAGO,Bus Operations
600,66,WABASH,CHICAGO,Bus Operations
601,66,STATE,CHICAGO,Bus Operations
602,66,DEARBORN,CHICAGO,Bus Operations
603,66,CLARK,CHICAGO,Bus Operations
604,66,LASALLE,CHICAGO,Bus Operations
606,66,FRANKLIN,CHICAGO,Bus Operations
609,66,HUDSON,CHICAGO,Bus Operations
611,66,LARRABEE,CHICAGO,Bus Operations
